C,SETP.WORLD,CO2EII_RESULTS_SUMMARY,AEMO,PUBLIC,26/08/2022,12:55:25,369522107,,369522091,
I,CO2EII,PUBLISHING,1,CONTRACTYEAR,WEEKNO,SETTLEMENTDATE,REGIONID,TOTAL_SENT_OUT_ENERGY,TOTAL_EMISSIONS,CO2E_INTENSITY_INDEX
D,CO2EII,PUBLISHING,1,2019,27,1/07/2019 0:00,NEM,560128.1957,402010.7906,0.7177
D,CO2EII,PUBLISHING,1,2019,27,1/07/2019 0:00,NSW1,199074.1322,165700.4011,0.8324
D,CO2EII,PUBLISHING,1,2019,27,1/07/2019 0:00,QLD1,149565.1104,114551.52,0.7659
D,CO2EII,PUBLISHING,1,2019,27,1/07/2019 0:00,SA1,44759.3315,8700.499581,0.1944
D,CO2EII,PUBLISHING,1,2019,27,1/07/2019 0:00,TAS1,34072.79806,207.8624356,0.0061
D,CO2EII,PUBLISHING,1,2019,27,1/07/2019 0:00,VIC1,132656.8235,112850.5074,0.8507
D,CO2EII,PUBLISHING,1,2019,27,2/07/2019 0:00,NEM,560594.3018,422806.0481,0.7542
D,CO2EII,PUBLISHING,1,2019,27,2/07/2019 0:00,NSW1,200726.583,164647.7299,0.8203
D,CO2EII,PUBLISHING,1,2019,27,2/07/2019 0:00,QLD1,157557.9384,122320.2451,0.7764
D,CO2EII,PUBLISHING,1,2019,27,2/07/2019 0:00,SA1,35133.87218,14772.0988,0.4205
D,CO2EII,PUBLISHING,1,2019,27,2/07/2019 0:00,TAS1,36986.80682,565.5173634,0.0153
D,CO2EII,PUBLISHING,1,2019,27,2/07/2019 0:00,VIC1,130189.1014,120500.457,0.9256
D,CO2EII,PUBLISHING,1,2019,27,3/07/2019 0:00,NEM,556994.2025,426086.1549,0.765
D,CO2EII,PUBLISHING,1,2019,27,3/07/2019 0:00,NSW1,205364.3134,165399.5052,0.8054
D,CO2EII,PUBLISHING,1,2019,27,3/07/2019 0:00,QLD1,156204.8905,121355.2207,0.7769
