C,SETP.WORLD,CO2EII_RESULTS_SUMMARY,AEMO,PUBLIC,26/08/2022,12:55:25,369522107,,369522091,
I,CO2EII,PUBLISHING,1,CONTRACTYEAR,WEEKNO,SETTLEMENTDATE,REGIONID,TOTAL_SENT_OUT_ENERGY,TOTAL_EMISSIONS,CO2E_INTENSITY_INDEX
D,CO2EII,PUBLISHING,1,2022,1,26/12/2021 0:00,NEM,428428.8703,270807.5115,0.6321
D,CO2EII,PUBLISHING,1,2022,1,26/12/2021 0:00,NSW1,142048.6585,93962.04397,0.6615
D,CO2EII,PUBLISHING,1,2022,1,26/12/2021 0:00,QLD1,133944.5541,102581.8979,0.7659
D,CO2EII,PUBLISHING,1,2022,1,26/12/2021 0:00,SA1,28532.41922,1165.158262,0.0408
D,CO2EII,PUBLISHING,1,2022,1,26/12/2021 0:00,TAS1,16089.71379,0,0
D,CO2EII,PUBLISHING,1,2022,1,26/12/2021 0:00,VIC1,107813.5247,73098.41127,0.678
D,CO2EII,PUBLISHING,1,2022,1,27/12/2021 0:00,NEM,431939.7415,259910.5399,0.6017
D,CO2EII,PUBLISHING,1,2022,1,27/12/2021 0:00,NSW1,142852.3552,84246.02405,0.5897
D,CO2EII,PUBLISHING,1,2022,1,27/12/2021 0:00,QLD1,139146.8731,105044.5314,0.7549
D,CO2EII,PUBLISHING,1,2022,1,27/12/2021 0:00,SA1,29621.14406,1164.179724,0.0393
D,CO2EII,PUBLISHING,1,2022,1,27/12/2021 0:00,TAS1,16568.59201,0,0
D,CO2EII,PUBLISHING,1,2022,1,27/12/2021 0:00,VIC1,103750.7772,69455.80472,0.6694
D,CO2EII,PUBLISHING,1,2022,1,28/12/2021 0:00,NEM,421155.7443,264225.3364,0.6274
D,CO2EII,PUBLISHING,1,2022,1,28/12/2021 0:00,NSW1,136767.0467,81197.12651,0.5937
D,CO2EII,PUBLISHING,1,2022,1,28/12/2021 0:00,QLD1,133601.0489,99732.55901,0.7465
D,CO2EII,PUBLISHING,1,2022,1,28/12/2021 0:00,SA1,26804.73004,1165.284022,0.0435
D,CO2EII,PUBLISHING,1,2022,1,28/12/2021 0:00,TAS1,17378.58735,0,0
D,CO2EII,PUBLISHING,1,2022,1,28/12/2021 0:00,VIC1,106604.3313,82130.3669,0.7704
D,CO2EII,PUBLISHING,1,2022,1,29/12/2021 0:00,NEM,438008.2045,295266.4083,0.6741
D,CO2EII,PUBLISHING,1,2022,1,29/12/2021 0:00,NSW1,140393.0457,88845.22745,0.6328
D,CO2EII,PUBLISHING,1,2022,1,29/12/2021 0:00,QLD1,139700.8634,104077.6622,0.745
D,CO2EII,PUBLISHING,1,2022,1,29/12/2021 0:00,SA1,28130.96203,2923.546017,0.1039
D,CO2EII,PUBLISHING,1,2022,1,29/12/2021 0:00,TAS1,21985.14862,0,0
D,CO2EII,PUBLISHING,1,2022,1,29/12/2021 0:00,VIC1,107798.1848,99419.97267,0.9223
D,CO2EII,PUBLISHING,1,2022,1,30/12/2021 0:00,NEM,461695.8902,311465.2588,0.6746
D,CO2EII,PUBLISHING,1,2022,1,30/12/2021 0:00,NSW1,145680.7287,95168.00142,0.6533
D,CO2EII,PUBLISHING,1,2022,1,30/12/2021 0:00,QLD1,141490.73,102366.5444,0.7235
D,CO2EII,PUBLISHING,1,2022,1,30/12/2021 0:00,SA1,29195.47921,9035.691249,0.3095
D,CO2EII,PUBLISHING,1,2022,1,30/12/2021 0:00,TAS1,27006.70928,0,0
D,CO2EII,PUBLISHING,1,2022,1,30/12/2021 0:00,VIC1,118322.243,104895.0217,0.8865
D,CO2EII,PUBLISHING,1,2022,1,31/12/2021 0:00,NEM,496274.3806,314915.2049,0.6346
D,CO2EII,PUBLISHING,1,2022,1,31/12/2021 0:00,NSW1,145964.5603,94392.74435,0.6467
