DUID,GeneratorsandScheduledLoads_StationName,2021-22-IASR_Generator,Lat,Lon
ADPBA1G,Adelaide Desalination Plant,Adelaide Desalination Plant,-35.09643816,138.4840037
ADPBA1L,Adelaide Desalination Plant,Adelaide Desalination Plant,-35.09643816,138.4840037
ADPMH1,Adelaide Desalination Plant,Adelaide Desalination Plant,-35.09643816,138.4840037
ADPPV1,Adelaide Desalination Plant,Adelaide Desalination Plant,-35.09643816,138.4840037
ADPPV2,Adelaide Desalination Plant,Adelaide Desalination Plant,-35.09643816,138.4840037
ADPPV3,Adelaide Desalination Plant,Adelaide Desalination Plant,-35.09643816,138.4840037
AGLHAL,Hallett Power Station,,-33.348652,138.751659
AGLSITA1,Agl Kemps Creek,,,
AGLSOM,Somerton Power Station,Somerton,-37.631822,144.953077
ANGAST1,Angaston Power Station,Angaston,-34.50348,139.024537
APD01,,,,
APPIN,Appin Power Plant,,-34.20697011,150.7719465
ARWF1,Ararat Wind Farm,Ararat Wind Farm,-37.238181,143.052044
ASNAES1,,,,
ASNBRL1,,,,
ASNENC1,,,,
ASQENC1,,,,
ASSDE1,,,,
ASSEL1,,,,
ASSENC1,,,,
ASSSN1,,,,
ASTFG1V1,,,,
ASTHYD1,,,,
BAKING1,Baking Board Solar Farm,,,
BALBG1,Ballarat Battery Energy Storage System,Ballarat Energy Storage System,-37.56746062,143.9198731
BALBL1,Ballarat Battery Energy Storage System,Ballarat Energy Storage System,-37.56746062,143.9198731
BALDHWF1,Bald Hills Wind Farm,Bald Hills Wind Farm,-38.7908,145.9277
BANGOWF1,Bango 973 Wind Farm,Bango 973 Wind Farm,-34.769768,148.921209
BANGOWF2,Bango 999 Wind Farm,Bango 999 Wind Farm,-34.769768,148.921209
BANN1,Bannerton Solar Park,Bannerton Solar Farm,-34.674141,142.750511
BAPS,Banimboola Power Station,,-36.5341745,147.4593287
BARCALDN,Barcaldine Power Station,Barcaldine Power Station,-23.552452,145.314186
BARCSF1,Barcaldine Solar Farm,,-23.54766108,145.3188127
BARKIPS1,Barker Inlet Power Station,Barker Inlet Power Station,-34.80416331,138.5249642
BARRON-1,Barron Gorge Power Station,Barron Gorge,-16.850199,145.646495
BARRON-2,Barron Gorge Power Station,Barron Gorge,-16.850199,145.646495
BASTYAN,Bastyan Power Station,Bastyan,-41.735983,145.532112
BBASEHOS,Ballarat Base Hospital Plant,,,
BBTHREE1,Bell Bay Three Power Station,Bell Bay Three,-41.141944,146.9025
BBTHREE2,Bell Bay Three Power Station,Bell Bay Three,-41.141944,146.9025
BBTHREE3,Bell Bay Three Power Station,Bell Bay Three,-41.141944,146.9025
BDL01,Bairnsdale Power Station,Bairnsdale,-37.842859,147.56393
BDL02,Bairnsdale Power Station,Bairnsdale,-37.842859,147.56393
BDONGHYD,Burrendong Hydro Power Station,,-32.66442444,149.1078967
BERYLSF1,Beryl Solar Farm,Beryl Solar Farm,-32.35746334,149.4681173
BLNKTAS,Basslink HVDC Link,,,
BLNKVIC,Basslink HVDC Link,,,
BLOWERNG,Blowering Power Station,Blowering,-35.398601,148.246272
BLUEGSF1,Blue Grass Solar Farm,,,
BLUFF1,The Bluff Wind Farm,,-33.369331,138.982476
BNGSF1,Bungala One Solar Farm,Bungala one Solar Farm,,
BNGSF2,Bungala Two Solar Farm,Bungala Two Solar Farm,,
BOCORWF1,Boco Rock Wind Farm,Boco Rock Wind Farm,-36.59141422,149.1296751
BODWF1,Bodangora Wind Farm ,,-32.40684634,149.0412398
BOLIVAR1,Bolivar Waste Water Treatment Plant,,,
BOMENSF1,Bomen Solar Farm,Bomen Solar Farm,-35.04883921,147.4441156
BOWWBA1G,Bolivar Waste Water Treatment Plant,,,
BOWWBA1L,Bolivar Waste Water Treatment Plant,,,
BOWWDG1,Bolivar Waste Water Treatment Plant,,,
BOWWPV1,Bolivar Waste Water Treatment Plant,,,
BPLANDF1,Browns Plains Landfill Gas PS,,,
BRAEMAR1,Braemar Power Station,Braemar,-27.110934,150.905337
BRAEMAR2,Braemar Power Station,Braemar,-27.110934,150.905337
BRAEMAR3,Braemar Power Station,Braemar,-27.110934,150.905337
BRAEMAR5,Braemar 2 Power Station,Braemar 2 Power Station,-27.11281127,150.9048783
BRAEMAR6,Braemar 2 Power Station,Braemar 2 Power Station,-27.11281127,150.9048783
BRAEMAR7,Braemar 2 Power Station,Braemar 2 Power Station,-27.11281127,150.9048783
BROADMDW,Broadmeadows Landfill Gas Power Station,,,
BROKENH1,Broken Hill Solar Plant,Broken Hill Solar Farm,-31.98670743,141.3915455
BROOKLYN,Brooklyn LFG U1-3,,,
BROWNMT,Brown Mountain Hydro Power Station,,,
BRYB1WF1,Berrybank Wind Farm,Berrybank Wind Farm,-37.997441,143.456666
BULBESG1,Bulgana Green Power Hub,,-37.14713506,142.9370081
BULBESL1,Bulgana Green Power Hub,,-37.14713506,142.9370081
BULGANA1,Bulgana Green Power Hub,,-37.14713506,142.9370081
BURRIN,Burrinjuck Hydro Power Station,,,
BUTLERSG,Butlers Gorge Power Station,,-42.266898,146.261758
BW01,Bayswater Power Station,Bayswater,-32.39527,150.94913
BW02,Bayswater Power Station,Bayswater,-32.39527,150.94913
BW03,Bayswater Power Station,Bayswater,-32.39527,150.94913
BW04,Bayswater Power Station,Bayswater,-32.39527,150.94913
BWTR1,Broadwater Power Station,,-29.01206004,153.4327788
CALL_A_4,Callide Power Station,,-24.334025,150.627973
CALL_B_1,Callide Power Station,Callide B,-24.34488,150.619749
CALL_B_2,Callide Power Station,Callide B,-24.34488,150.619749
