Generator,Generator Type,Region,"ISP 
sub-region",REZ Location,Fuel/Technology type,Maximum Capacity (MW),2023-34 Summer Rating (MW),2024 Not Summer Rating (MW),Maintenance duration (%),Maximum Capacity Factor (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat Rate (GJ/MWh HHV s.o.),2023-24 Step Change Fuel Cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary Load (%),SRMC ($/MWh),Expected Retirement Year
Bayswater,Steam Sub Critical,NSW,CNSW,N/A,Black Coal NSW,"2,690","2,620","2,740",5.48,75,56.74,4.49,9.45,1.77,889,0.96,5.46,21.19,2033
Eraring,Steam Sub Critical,NSW,SNW,N/A,Black Coal NSW,"2,880","2,675","2,755",5.48,75,56.74,4.49,9.55,3.2,888,0.98,5.46,35.02,2025
Liddell,Steam Sub Critical,NSW,CNSW,N/A,Black Coal NSW,"2,000",0,0,5.48,75,56.74,4.49,10.14,1.77,946,0.96,5.46,22.41,2023
Mt Piper,Steam Sub Critical,NSW,CNSW,N/A,Black Coal NSW,"1,390","1,380","1,430",5.48,75,56.74,4.49,9.25,3.2,846,0.97,5.46,34.07,2040
Vales Point B,Steam Sub Critical,NSW,SNW,N/A,Black Coal NSW,"1,320","1,320","1,320",5.48,75,56.74,4.49,9.68,3.01,877,0.99,5.46,33.57,2029
Callide B,Steam Sub Critical,QLD,CNQ,N/A,Black Coal QLD,700,700,700,5.48,N/A,55.84,4.42,9.16,2.04,947,0.93,6.67,23.14,2028
Callide C,Steam Super Critical,QLD,CNQ,N/A,Black Coal QLD,840,854,886,5.48,N/A,55.84,4.42,9.3,2.04,911,0.93,6.67,23.43,2051
Gladstone,Steam Sub Critical,QLD,GG,N/A,Black Coal QLD,"1,680","1,680","1,680",5.48,N/A,55.84,4.42,9.47,2.65,952,0.95,6.67,29.52,2035
Kogan Creek,Steam Super Critical,QLD,SQ,N/A,Black Coal QLD,744,710,750,5.48,N/A,55.84,4.42,8.8,1.38,841,0.97,6.67,16.6,2042
Millmerran,Steam Super Critical,QLD,SQ,N/A,Black Coal QLD,852,672,852,5.48,N/A,55.84,4.42,9.21,1.26,830,0.97,6.67,16.03,2051
Stanwell,Steam Sub Critical,QLD,CNQ,N/A,Black Coal QLD,"1,460","1,460","1,460",5.48,N/A,55.84,4.42,9.07,2.52,860,0.93,6.67,27.23,2043
Tarong,Steam Sub Critical,QLD,SQ,N/A,Black Coal QLD,"1,400","1,400","1,400",5.48,N/A,55.84,4.42,9.21,2.67,880,0.97,6.67,28.97,2036
Tarong North,Steam Super Critical,QLD,SQ,N/A,Black Coal QLD,450,443,443,5.48,N/A,55.84,4.42,8.65,2.67,880,0.97,6.67,27.5,2037
Loy Yang A Power Station,Steam Sub Critical,VIC,VIC,N/A,Brown Coal VIC,"2,210","2,080","2,210",5.48,N/A,143.97,4.21,12.16,0.67,"1,138",0.98,8.2,12.35,2045
Loy Yang B,Steam Sub Critical,VIC,VIC,N/A,Brown Coal VIC,"1,160","1,090","1,160",5.48,N/A,143.97,4.21,12.54,0.67,"1,113",0.98,8.2,12.6,2047
Yallourn W,Steam Sub Critical,VIC,VIC,N/A,Brown Coal VIC,"1,450","1,420","1,528",5.48,N/A,143.97,4.21,13.9,0.66,"1,280",0.97,8.2,13.42,2028
Tallawarra,CCGT,NSW,SNW,N/A,CCGT,440,380,427,5.48,N/A,11.02,7.74,6.99,10.56,369,0.99,1.76,81.55,2043
Condamine A,CCGT,QLD,SQ,N/A,CCGT,144,139,144,5.48,N/A,11.02,7.74,7.29,7.81,459,0.98,1.76,64.64,2039
Darling Downs,CCGT,QLD,SQ,N/A,CCGT,645,563,630,5.48,N/A,11.02,7.74,7.38,7.69,428,0.96,1.76,64.49,2045
Swanbank E GT,CCGT,QLD,SQ,N/A,CCGT,385,350,365,5.48,N/A,11.02,7.74,7.44,8.67,378,1,1.76,72.23,2036
Yabulu PS,CCGT,QLD,CNQ,N/A,CCGT,160,150,165,5.48,N/A,11.02,7.74,7.59,8.25,587,0.97,1.76,70.38,2046
Yabulu Steam Turbine ,CCGT,QLD,CNQ,N/A,CCGT,84,78,82,5.48,N/A,11.02,7.74,7.59,8.25,587,0.97,1.76,70.38,2046
Yarwun Cogen,CCGT,QLD,GG,N/A,CCGT,180,180,180,5.48,N/A,11.02,7.74,10.37,8.25,488,0.95,1.76,93.3,2050
Osborne,CCGT,SA,SA,N/A,CCGT,180,172,0,5.48,N/A,11.02,7.74,8.16,10.87,412,1,1.76,96.48,2023
Pelican Point,CCGT,SA,SA,N/A,CCGT,529,453,498,5.48,N/A,11.02,7.74,7.35,11.08,398,1,1.76,89.13,2037
Tamar Valley Combined Cycle,CCGT,TAS,TAS,N/A,CCGT,208,0,0,5.48,N/A,110.79,7.74,7.29,12.62,516,1,1.76,99.71,2050
Colongra,OCGT,NSW,SNW,N/A,OCGT,724,640,724,1.37,N/A,15.9,11.05,11.15,11.03,659,0.99,0.72,133.95,2070
Hunter Valley GT,OCGT,NSW,CNSW,N/A,Liquid Fuel,50,30,40,1.37,N/A,15.9,11.05,12.72,36.72,"1,274",0.97,0.64,478.17,2022
Smithfield Energy Facility,OCGT,NSW,SNW,N/A,OCGT,185,108,126,1.37,N/A,15.9,11.05,13.69,11.03,720,1,0.72,161.98,2044
Uranquinty,OCGT,NSW,SNSW,N/A,OCGT,664,640,664,1.37,N/A,15.9,11.05,11.15,10.61,591,0.86,0.72,129.32,2044
Barcaldine Power Station,OCGT,QLD,CNQ,N/A,OCGT,37,34,37,1.37,N/A,15.9,11.05,12.72,9.04,"3,193",0.91,0.72,126.06,2034
