EFFECTIVEFROM,DATASOURCE,DUID,GENERATOR,PCT_AUXILIARY_LOAD,NOTE
17/07/2018,2018_ISP_assumptions_workbook,AGLHAL,Hallett GT,1,
17/07/2018,2018_ISP_assumptions_workbook,AGLSOM,Somerton,1,
17/07/2018,2018_ISP_assumptions_workbook,ANGAST1,Angaston,2.5,
17/07/2018,2018_ISP_assumptions_workbook,ARWF1,Ararat WF,1,
17/07/2018,2018_ISP_assumptions_workbook,BALBG1,Ballarat Battery Energy Storage System,1,STORAGE NOT FOUND IN ISP. ASSUMED VALUE
17/07/2018,2018_ISP_assumptions_workbook,BALBL1,Ballarat Battery Energy Storage System,1,STORAGE NOT FOUND IN ISP. ASSUMED VALUE
17/07/2018,2018_ISP_assumptions_workbook,BALDHWF1,Bald Hills WF,1,
17/07/2018,2018_ISP_assumptions_workbook,BANN1,Bannerton Solar,1,COMMITTED PROJECT IN ISP
17/07/2018,2018_ISP_assumptions_workbook,BARCALDN,Barcaldine,1,
17/07/2018,2018_ISP_assumptions_workbook,BARCSF1,Barcaldine Solar Farm,1,GENERATOR NOT FOUND IN ISP
17/07/2018,2018_ISP_assumptions_workbook,BARKIPS1,Barker Inlet,3,COMMITTED PROJECT IN ISP. ASSUMED NEW ENTRANT VALUE
17/07/2018,2018_ISP_assumptions_workbook,BARRON-1,Barron Gorge,1,
17/07/2018,2018_ISP_assumptions_workbook,BARRON-2,Barron Gorge,1,
17/07/2018,2018_ISP_assumptions_workbook,BASTYAN,Bastyan,1,
17/07/2018,2018_ISP_assumptions_workbook,BBTHREE1,Bell Bay Three,3,
17/07/2018,2018_ISP_assumptions_workbook,BBTHREE2,Bell Bay Three,3,
17/07/2018,2018_ISP_assumptions_workbook,BBTHREE3,Bell Bay Three,3,
17/07/2018,2018_ISP_assumptions_workbook,BDL01,Bairnsdale,1,
17/07/2018,2018_ISP_assumptions_workbook,BDL02,Bairnsdale,1,
17/07/2018,2018_ISP_assumptions_workbook,BERYLSF1,Beryl Solar,1,COMMITTED PROJECT IN ISP
17/07/2018,2018_ISP_assumptions_workbook,BLOWERNG,Blowering,1,
17/07/2018,2018_ISP_assumptions_workbook,BLUFF1,The Bluff,1,GENERATOR NOT FOUND IN ISP
17/07/2018,2018_ISP_assumptions_workbook,BNGSF1,BULGANAWF,1,COMMITTED PROJECT IN ISP
17/07/2018,2018_ISP_assumptions_workbook,BNGSF2,BULGANAWF,1,COMMITTED PROJECT IN ISP
17/07/2018,2018_ISP_assumptions_workbook,BOCORWF1,Boco Rock WF,1,
17/07/2018,2018_ISP_assumptions_workbook,BODWF1,Bodangora WF,1,COMMITTED PROJECT IN ISP
17/07/2018,2018_ISP_assumptions_workbook,BOMENSF1,Bomen Solar Farm,1,GENERATOR NOT FOUND IN ISP
17/07/2018,2018_ISP_assumptions_workbook,BRAEMAR1,Braemar,1,
17/07/2018,2018_ISP_assumptions_workbook,BRAEMAR2,Braemar,1,
17/07/2018,2018_ISP_assumptions_workbook,BRAEMAR3,Braemar,1,
17/07/2018,2018_ISP_assumptions_workbook,BRAEMAR5,Braemar,1,
