EFFECTIVEFROM,DATASOURCE,DUID,STATION_NAME,FUEL_PRIMARY,FUEL_DESCRIPTOR,TECH_PRIMARY,TECH_DESCRIPTOR
10/01/2023,NEM_Registration_Exemption_List,-,Melbourne Regional Landfill,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine
10/01/2023,NEM_Registration_Exemption_List,-,Midlands Power Station,Hydro,Water,Renewable,Hydro - Gravity
10/01/2023,NEM_Registration_Exemption_List,-,Pioneer Sugar Mill,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical
10/01/2023,NEM_Registration_Exemption_List,-,Portland,-,-,-,-
10/01/2023,NEM_Registration_Exemption_List,-,Portland Wind Farm,Wind,Wind,Renewable,Wind - Onshore
10/01/2023,NEM_Registration_Exemption_List,-,Victoria Mill,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Super Critical
10/01/2023,NEM_Registration_Exemption_List,ADPBA1G,Adelaide Desalination Plant,Battery storage,Grid,Storage,Battery and Inverter
10/01/2023,NEM_Registration_Exemption_List,ADPBA1L,Adelaide Desalination Plant,Battery storage,Grid,Storage,Battery and Inverter
10/01/2023,NEM_Registration_Exemption_List,ADPMH1,Adelaide Desalination Plant,Hydro,Water,Renewable,Run of River
10/01/2023,NEM_Registration_Exemption_List,ADPPV1,Adelaide Desalination Plant,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel
10/01/2023,NEM_Registration_Exemption_List,ADPPV2,Adelaide Desalination Plant,Solar,Solar,Renewable,Photovoltaic Flat panel
10/01/2023,NEM_Registration_Exemption_List,ADPPV3,Adelaide Desalination Plant,Solar,Solar,Renewable,Photovoltaic Flat panel
10/01/2023,NEM_Registration_Exemption_List,AGLHAL,Hallett Power Station,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT)
10/01/2023,NEM_Registration_Exemption_List,AGLSITA1,Agl Kemps Creek,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine
10/01/2023,NEM_Registration_Exemption_List,AGLSOM,Somerton Power Station,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT)
10/01/2023,NEM_Registration_Exemption_List,ANGAST1,Angaston Power Station,Fossil,Diesel,Combustion,Compression Reciprocating Engine
10/01/2023,NEM_Registration_Exemption_List,APPIN,Appin Power Plant,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine
10/01/2023,NEM_Registration_Exemption_List,ARWF1,Ararat Wind Farm,Wind,Wind,Renewable,Wind - Onshore
10/01/2023,NEM_Registration_Exemption_List,BAKING1,Baking Board Solar Farm,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel
10/01/2023,NEM_Registration_Exemption_List,BALBG1,Ballarat Battery Energy Storage System,Battery storage,Grid,Storage,Battery
10/01/2023,NEM_Registration_Exemption_List,BALBL1,Ballarat Battery Energy Storage System,-,-,Storage,Battery
10/01/2023,NEM_Registration_Exemption_List,BALDHWF1,Bald Hills Wind Farm,Wind,Wind,Renewable,Wind - Onshore
10/01/2023,NEM_Registration_Exemption_List,BANGOWF1,Bango 973 Wind Farm,Wind,Wind,Renewable,Wind - Onshore
10/01/2023,NEM_Registration_Exemption_List,BANGOWF2,Bango 999 Wind Farm,Wind,Wind,Renewable,Wind - Onshore
10/01/2023,NEM_Registration_Exemption_List,BANN1,Bannerton Solar Park,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel
10/01/2023,NEM_Registration_Exemption_List,BAPS,Banimboola Power Station,Hydro,Water,Renewable,Hydro - Gravity
10/01/2023,NEM_Registration_Exemption_List,BARCALDN,Barcaldine Power Station,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT)
10/01/2023,NEM_Registration_Exemption_List,BARCSF1,Barcaldine Solar Farm,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel
10/01/2023,NEM_Registration_Exemption_List,BARKIPS1,Barker Inlet Power Station,Fossil,Natural Gas,Combustion,Compression Reciprocating Engine
10/01/2023,NEM_Registration_Exemption_List,BARRON-1,Barron Gorge Power Station,Hydro,Water,Renewable,Run of River
10/01/2023,NEM_Registration_Exemption_List,BARRON-2,Barron Gorge Power Station,Hydro,Water,Renewable,Run of River
10/01/2023,NEM_Registration_Exemption_List,BASTYAN,Bastyan Power Station,Hydro,Water,Renewable,Hydro - Gravity
10/01/2023,NEM_Registration_Exemption_List,BBASEHOS,Ballarat Base Hospital Plant,Fossil,Natural Gas / Diesel,Combustion,Compression Reciprocating Engine
